id,date,city,venue,category,title,time,ticketUrl,cost
"3720","2026-02-12","Eagle River","The Crystal Saloon","music","Karaoke Night","8p-12a","",""
"3721","2026-02-12","Eagle River","North Pole Alehouse","music","Karaoke Thursdays with Rocky Barnette","8p-12a","",""
"3722","2026-02-12","Eagle River","Yukon Bar","music","Karaoke","8p-2a","",""
"3723","2026-02-12","Eagle River","Alaskan Hotel and Bar","music","Open Mic","9p-11p","",""
"3724","2026-02-12","Eagle River","Alibi Bar & Café","music","Karaoke Night","9p-12:30a","",""
"3725","2026-02-13","Anchorage","Sweet Cheeks Cabaret: Hot & Bothered","music","A Burlesque ode to Rom-Com","","",""
"3726","2026-02-13","Anchorage","Koot’s","music","Coach Kern's 67 Feels Like Heaven Party 10:30p-2a?","","",""
"3727","2026-02-13","Anchorage","Koot’s","music","Cold Fusion 10:30p-2a?","","",""
"3728","2026-02-13","Anchorage","Barry’s Baranof Lounge","music","Odds Are Good","10p-?","",""
"3729","2026-02-13","Anchorage","Pink Cadillac","music","Schaefer Mueller & The Neon Highway","10p-1a","",""
"3730","2026-02-13","Anchorage","Williwaw Social","dance","Dump Them: An Anti-Valentines Day Dance Party w/ DJ Remax","10p-2p","",""
"3731","2026-02-13","Anchorage","Bartlett High School","music","Chinese Immersion Schools Chinese New Year Performance","11a-12:30p","",""
"3732","2026-02-13","Anchorage","Alaska Zoo","music","Zoo Lights","5p-8p","",""
"3733","2026-02-13","Anchorage","49th State Brewing","music","Snowball 2026 w/ Hope Social Club","6:30p-11p","",""
"3734","2026-02-13","Anchorage","Williwaw Social","music","Friday the 13th All-Ages Improv Show","6:30p-8:30p","",""
"3735","2026-02-13","Anchorage","Gumbo House","music","Joe Craig & Terry Curran","6:30p-9p","",""
"3736","2026-02-13","Anchorage","O’Malley’s on the Green","music","Live Jazz with Rick Zelinsky","6:30p-9p","",""
"3737","2026-02-13","Anchorage","Alaska Native Heritage Center","dance","Unangax Dancers & Storytelling","6p-7:30p","",""
"3738","2026-02-13","Anchorage","Rogers Park Elementary","dance","Wolf Pack Disco Dance Fundraiser w/ DJ John","6p-8p","",""
"3739","2026-02-13","Anchorage","Sand Lake Elementary","dance","Aurora Glow Dance w/ DJ Spencer Lee","6p-8p","",""
"3740","2026-02-13","Anchorage","Alaska Center for the Performing Arts","music","Harry Potter and the Chamber of Secrets in Concert","7:30p-10p","",""
"3741","2026-02-13","Anchorage","Alaska Center for the Performing Arts","music","Bria Skonberg","7:30p-9:20p","",""
"3742","2026-02-13","Anchorage","UAA Main Stage","dance","Pulse Dance Company: Myth Behavin’","7:30p-9:30p","",""
"3743","2026-02-13","Anchorage","Pink Cadillac","music","Boots, Beer, & Ballads Country Night w/ DJ Rico","7p-10p","",""
"3744","2026-02-13","Anchorage","Anchorage Social Dance Club","dance","Friday Night Dance Social","7p-11p","",""
"3745","2026-02-13","Anchorage","The Fraternal Order of Eagles Aerie 4207","music","Karaoke Friday at the Eagles!","7p-12a","",""
"3746","2026-02-13","Anchorage","Chugiak High School","music","Chugiak & Eagle River Drama: The Music Man","7p-9:30p","",""
"3747","2026-02-13","Anchorage","UAA Fine Arts Building","theatre","Midnight Sun Theater: Pyrates!","7p-9p","",""
"3748","2026-02-13","Anchorage","The Whale’s Tail","comedy","Divorce Court of the Dead: A Comedy Roast Battle","7p-9p","",""
"3749","2026-02-13","Anchorage","Van’s Dive Bar","music","John Larson & The Pit Viperz","8:30p-?","",""
"3750","2026-02-13","Anchorage","Momentum Studios","music","IndigiVIBES: A Love Letter to Queer Indigenous Joy and Liberation","8p-10:30p","",""
"3751","2026-02-13","Anchorage","Broken Blender","music","Sweet Cheeks Cabaret: Hot & Bothered - A Burlesque ode to Rom-Com","8p-10p","",""
"3752","2026-02-13","Anchorage","49th Supply Co","music","R&B: Rhythm & Bobba Valentine’s Vibes","8p-11p","",""
"3753","2026-02-13","Anchorage","Broken Blender","music","Karaoke w/ DJ Charms","8p-12a","",""
"3754","2026-02-13","Anchorage","Arctic Academie de Danse","dance","West Coast Swing Lesson","8p-9p","",""
"3755","2026-02-13","Anchorage","Koot’s","music","Los Anchorage vol. 4 w/ Flow Lounge, SixStar, JDWP, Twiin, D.Loading, and Perdue","9:30a-2:30a","",""
"3756","2026-02-13","Anchorage","Flattop Pizza & Pool","music","DJ JRock","9:30p-12a","",""
"3757","2026-02-13","Anchorage","Humpy’s","music","Live Music w/ The Acoustic Oosik","9:30p-1a","",""
"3758","2026-02-13","Anchorage","Mad Myrna’s","music","Mad Myrna's Diva Variety Show","9p-11:30p","",""
"3759","2026-02-13","Anchorage","Arctic Academie de Danse","dance","Friday Night Dance Social","9p-11p","",""
"3760","2026-02-13","Anchorage","Alaska Dance Promotions","dance","Friday Night Dance Lounge","9p-1a","",""
"3761","2026-02-13","Anchorage","The Carousel Lounge","music","Danger Money Band","9p-1a","",""
"3762","2026-02-13","Anchorage","Time Out Lounge","music","Blast From The Past","9p-2:30a","",""
"3763","2026-02-13","Eagle River","The Goods","music","A Very Cheesey Valentine's Eve Karaoke 5p-??","","",""
"3764","2026-02-13","Eagle River","The International Hotel & Bar","music","Lucky in Love (or Not) w/ Marc Brown","10p-2a","",""
"3765","2026-02-13","Eagle River","Kharacter’s","music","Darkstar","10p-2a","",""
"3766","2026-02-13","Eagle River","Daubenspeck Family Park","music","Free Family Ice Skating","1p-4p","",""
"3767","2026-02-13","Eagle River","Gerrish Library","music","Family Movie Night","3p-5:30p","",""
"3768","2026-02-13","Eagle River","Glacier Cinemas","music","Free Screening: For the Love of JAMHI","4:30p-6p","",""
"3769","2026-02-13","Eagle River","Franklin Street","music","5 Hearts on Franklin: A Valentines Voyage","4p-8:30p","",""
"3770","2026-02-13","Eagle River","Mendenhall Glacier Visitor Center","music","Fireside Lecture: Submerged Archeology","5:30p-?","",""
"3771","2026-02-13","Eagle River","Main Street Gallery","music","""Weirdcore"" The 40th Annual Wearable Art Show","5p-7p","",""
"3772","2026-02-13","Eagle River","The Crystal Saloon","community","Sunny Porch Community Folk Revival & Recording Release Party","5p-8p","",""
"3773","2026-02-13","Eagle River","Kachemak Bay Recovery Connection","music","Friday Night Sober Lounge","6p-10p","",""
"3774","2026-02-13","Eagle River","Marie Drake Planetarium","music","Pluto, the Kuiper Belt and the Oort Clout","6p-7p","",""
"3775","2026-02-13","Eagle River","VFW 9785","music","Hwy9","7:30p-?","",""
"3776","2026-02-13","Eagle River","Sheldon Community Arts Hanger","music","Complexities of Love Variety Show","7p-10:15p","",""
"3777","2026-02-13","Eagle River","American Legion Post 15","music","Karaoke","7p-11p","",""
"3778","2026-02-13","Eagle River","Silver Fox Inn","music","Shaun Pacarro (from H3)","7p-11p","",""
"3779","2026-02-13","Eagle River","Warrior Zone","music","Karaoke Night","7p-12a","",""
"3780","2026-02-13","Eagle River","Pioneer Park Theater","comedy","Stand Up Comedy w/ Dana Gould","7p-9p","",""
"3781","2026-02-13","Eagle River","Kenai Arts Center","theatre","The Creel Play by Kate Rich","7p-9p","",""
"3782","2026-02-13","Eagle River","The Creek Street Cabaret","dance","Square Dance w/ the Free Radicals","7p-9p","",""
"3783","2026-02-13","Eagle River","Schwabenhof","music","Karaoke Night","8p-11p","",""
"3784","2026-02-13","Eagle River","The Sitzmark Bar & Grill","music","Live at the Sitz: Jerry Wessling Band","9p-12a","",""
"3785","2026-02-13","Eagle River","Pioneer Bar","music","Open Mic","9p-1a","",""
"3786","2026-02-13","Eagle River","Four Corner’s Lounge","music","Valentine's Ballroom Bash","9p-1a","",""
"3787","2026-02-13","Eagle River","The CATCH Restaurant & Bar","music","Music At the Catch","9p-1a","",""
"3788","2026-02-14","Anchorage","Koot’s","music","Bell Bottoms & Broken Hearts w/ The Vintage Retro","10:30p-2:30a","",""
"3789","2026-02-14","Anchorage","Williwaw Social","dance","Valentine's Dance Party w/ DJ Cross","10p-2a","",""
"3790","2026-02-14","Anchorage","Loussac Library","community","Be My Valentine Storytime","11a-12p","",""
"3791","2026-02-14","Anchorage","Chugiak High School","music","The Music Man","1p-3:30p & 7p-9:30p","",""
"3792","2026-02-14","Anchorage","Arctic Valley Ski Area","music","Silas Wade Live","1p-3p","",""
"3793","2026-02-14","Anchorage","Westchester Lagoon","music","Weekly Family Skate w/ Music & Hot Chocolate","1p-3p","",""
"3794","2026-02-14","Anchorage","Arctic Valley Ski Area","theatre","MusiCal Live","3:30p-5:30p","",""
"3795","2026-02-14","Anchorage","49th State Brewing","music","Candlelight: Valentine's Day Special ft. ""Romeo and Juliet""","4p-5p","",""
"3796","2026-02-14","Anchorage","Alaska Botanical Garden","music","Spring Fling: 80’s Night","5p-8p","",""
"3797","2026-02-14","Anchorage","Williwaw Social","music","For Love and Music: A Valentine's Day Special w/ Choice Bit of Calico & Good Company","5p-9:45p","",""
"3798","2026-02-14","Anchorage","49th State Brewing","dance","Prom 1988! A Valentines Day Costume Dance Party w/ Blackwater Railroad & The Whiskey Fish","6:30p-?","",""
"3799","2026-02-14","Anchorage","The Nave Spenard","comedy","Scared Scriptless Improv Valentine's Show","6:30p-9:30p","",""
"3800","2026-02-14","Anchorage","Liewer Community Trail","music","14th Annual DJTA Walk of Lights 2026","6p-8p","",""
"3801","2026-02-14","Anchorage","Gumbo House","music","Piano Bar Saturdays w/ MJ Riemann","6p-9p","",""
"3802","2026-02-14","Anchorage","Alaska Center for the Performing Arts","music","Machu Picchu by INCA, The Peruvian Ensemble","7:30p-9:30p","",""
"3803","2026-02-14","Anchorage","West High School","music","Little Shop of Horrors Live","7p-9p","",""
"3804","2026-02-14","Anchorage","Organic Oasis","music","Aquarius Party with DJ Big Gay Mike","8p-?","",""
"3805","2026-02-14","Anchorage","Beartooth Theatrepub","dance","Heated Rivalry Dance Party","8p-12:30p","",""
"3806","2026-02-14","Anchorage","Flattop Pizza & Pool","music","DJ JRock","9:30p-12a","",""
"3807","2026-02-14","Anchorage","Humpy’s","music","Black Heart Ball w/ Live Music from The Red Flags","9:30p-1a","",""
"3808","2026-02-14","Anchorage","Anchorage Social Dance Club","dance","Dance Lessons & Social Dance","9:30p-2a","",""
"3809","2026-02-14","Anchorage","Van’s Dive Bar","music","Eerie Flats","9p-?","",""
"3810","2026-02-14","Anchorage","Oriental Garden","music","Weekly Karaoke Contest","9p-1:30a","",""
"3811","2026-02-14","Anchorage","Blarney Stone","music","Live Music Lonely Hearts Party","9p-12a","",""
"3812","2026-02-14","Anchorage","The Carousel Lounge","music","Danger Money's Farewell Show & Bill's Birthday Bash","9p-1a","",""
"3813","2026-02-14","Anchorage","Koot’s","music","Double Vision 2026 An EDM B2B Night","9p-2a","",""
"3814","2026-02-14","Eagle River","Kodiak Marketplace","music","Second Saturday Shenanigans","10:30p-11:30","",""
"3815","2026-02-14","Eagle River","Savikko Park","music","Sweetheart’s Relay 2-miler","10a-?","",""
"3816","2026-02-14","Eagle River","Ken’s Garden Center","music","Valentines Photo Booth & Meeting w/ Bluey","10a-5p","",""
"3817","2026-02-14","Eagle River","The International Hotel & Bar","music","Cupid After Dark with DJ Theme","10p-?","",""
"3818","2026-02-14","Eagle River","Kharacter’s","music","Pit Viperz","10p-2a","",""
"3819","2026-02-14","Eagle River","Southeast Alaska State Fairgrounds","festival","Haines Winterfest","11a-?","",""
"3820","2026-02-14","Eagle River","Fairbanks Children’s Museum","dance","Valentine’s Day Crafts & Dance Party","11a-4p","",""
"3821","2026-02-14","Eagle River","Pratt Museum","music","Second Saturday Free Entry","11a-4p","",""
"3822","2026-02-14","Eagle River","The Pottery Jungle","music","Valentine’s GHOST Wheel Throwing Experience","3p-5p & 6p-8p","",""
"3823","2026-02-14","Eagle River","Starter Block","music","Valentines Skate Night","4p-6p","",""
"3824","2026-02-14","Eagle River","Sterling Community Center","dance","Daddy Daughter Dance","4p-6p","",""
"3825","2026-02-14","Eagle River","Hatcher Pass Lodge","music","Bandandy","4p-7p","",""
"3826","2026-02-14","Eagle River","Devil’s Club Brewing","music","A Cozy Date Night with Steady Going","5:30p-7:30","",""
"3827","2026-02-14","Eagle River","Last Frontier CAC","music","Murder on the Bayou: Mardi Gras Mystery Party","5p-8p","",""
"3828","2026-02-14","Eagle River","Valdez Brewing","music","Date Night Paint Night & Charcuterie","5p-8p","",""
"3829","2026-02-14","Eagle River","Polar Ice","music","Open Skate w/ Gnomeo & Juliet Movie","6p-8p","",""
"3830","2026-02-14","Eagle River","AJ’s Old Town Steakhouse & Tavern","music","Piano Music by Sunrise Kilcher","6p-8p","",""
"3831","2026-02-14","Eagle River","The Hearth Eatery","music","Valentine Pre-Fixe Dinner w/ Music by Poly Alfonso","6p-9p","",""
"3832","2026-02-14","Eagle River","Silver Legacy Stables","music","Valentine’s Date Night & Horseback Rides","6p-9p","",""
"3833","2026-02-14","Eagle River","The Crystal Saloon","music","Juneau Vaudeville Presents: ""Love & Lust""","7:30p-?","",""
"3834","2026-02-14","Eagle River","The Creek Street Cabaret","music","Music on the Couch at the Cabaret","7:30p-9p","",""
"3835","2026-02-14","Eagle River","Fairweather Ski Works","festival","Haines Winterfest: Kat to Koot 2026","7a-?","",""
"3836","2026-02-14","Eagle River","Sheldon Community Arts Hanger","music","Complexities of Love Variety Show","7p-10:15p","",""
"3837","2026-02-14","Eagle River","Palmer Alehouse","music","Unplugged: Ken Peltier and Friends","7p-10p","",""
"3838","2026-02-14","Eagle River","Odd Man Rush","music","Valentine’s Day 80’s Prom w/ I Like Robots","7p-11p","",""
"3839","2026-02-14","Eagle River","American Legion Post 15","music","Karaoke","7p-11p","",""
"3840","2026-02-14","Eagle River","Pier One Theatre Inc.","theatre","The Creel Play by Kate Rich","7p-8:15p","",""
"3841","2026-02-14","Eagle River","The Palace Theater","music","Second Saturdays at Seven: Cabaret Night","7p-8:30p","",""
"3842","2026-02-14","Eagle River","Lat 65 Brewing Co.","music","Tom Letson & Ned Gaines","7p-9p","",""
"3843","2026-02-14","Eagle River","Pioneer Park Theater","comedy","Stand Up Comedy w/ Dana Gould","7p-9p","",""
"3844","2026-02-14","Eagle River","Alice’s Champagne Palace","music","Between the Sheets Trivia","7p-9p","",""
"3845","2026-02-14","Eagle River","Centennial Hall Convention Center","music","Wearable Art Extravaganza: Camp","8p-10p","",""
"3846","2026-02-14","Eagle River","Fairview Inn","dance","Dance Party","8p-1a","",""
"3847","2026-02-14","Eagle River","Chena Lake","music","X-Country Ski Winter Adventures","9a-3p","",""
"3848","2026-02-14","Eagle River","The Cabin","music","2010's Hit Late Night Party w/ DJ Delli","9p-?","",""
"3849","2026-02-14","Eagle River","The Sitzmark Bar & Grill","music","Live at the Sitz: Jerry Wessling Band","9p-12a","",""
"3850","2026-02-14","Eagle River","North Pole Alehouse","music","Valentine's Bash with Carlos!/UNO","9p-12a","",""
"3851","2026-02-14","Eagle River","Pioneer Bar","music","Karaoke Night","9p-1a","",""
"3852","2026-02-14","Eagle River","The CATCH Restaurant & Bar","music","Music At the Catch","9p-1a","",""
"3853","2026-02-14","Eagle River","Yukon Bar","music","Karaoke","9p-2a","",""
"3854","2026-02-15","Anchorage","Koot’s","music","Koots Karaoke","10p-2a","",""
"3855","2026-02-15","Anchorage","Pioneer Bar","music","Industry Night w/ Joe Brady","10p-2a","",""
"3856","2026-02-15","Anchorage","Arctic Valley Ski Area","music","Adrienne McVey Live","12p-2:30p","",""
"3857","2026-02-15","Anchorage","Dimond High School","music","2026 Chinese New Year’s Celebration","12p-4p","",""
"3858","2026-02-15","Anchorage","Asian Cultural Center","dance","Dragon & Lion Dance Training","3p-5p","",""
"3859","2026-02-15","Anchorage","Cyrano’s Theatre Company","music","The Fantasticks","3p-5p","",""
"3860","2026-02-15","Anchorage","VFW Post 1685","music","Open Mic & Jam","4:30p-8:30p","",""
"3861","2026-02-15","Anchorage","Koot’s","music","A Tribute to Wicked Wanda","4p-8p","",""
"3862","2026-02-15","Anchorage","Anchorage Social Dance Club","dance","Country Dance Nights: Line Dancing & Swing","6:30p-10p","",""
"3863","2026-02-15","Anchorage","Billiard Palace","music","Sunday Blues Jam w/ Rebel Blues Band","6p-10p","",""
"3864","2026-02-15","Anchorage","Susitna Brewing","music","Open Mic Night","6p-9","",""
"3865","2026-02-15","Anchorage","Anchorage Community Theatre","music","Auditions for Ruthless!","6p-9p","",""
"3866","2026-02-15","Anchorage","Koot’s","comedy","Comedy Open Mic","8:30p-10p","",""
"3867","2026-02-15","Anchorage","Time Out Lounge","music","Open Jam with Blast From The Past","8:30p-1a","",""
"3868","2026-02-15","Anchorage","Van’s Dive Bar","music","Open Mic Night","8p-11p","",""
"3869","2026-02-15","Anchorage","Mad Myrna’s","music","Karaoke","9p-12a","",""
"3870","2026-02-15","Anchorage","The Carousel Lounge","music","Sunday Karaoke","9p-2a","",""
"3871","2026-02-15","Eagle River","Tsalteshi Trails","music","2026 Tour of Tsalteshi","11:30a-4p","",""
"3872","2026-02-15","Eagle River","Mile 25","community","Miles Klehini Ski Classic","12a-?","",""
"3873","2026-02-15","Eagle River","The Spur","dance","Argentine Tango Lesson & Open Dance","1p-3p","",""
"3874","2026-02-15","Eagle River","Palmer Train Depot","music","Mat-Su Orchestra Fundraising Performance","3p-?","",""
"3875","2026-02-15","Eagle River","Centennial Hall Convention Center","music","Wearable Art Extravaganza: Camp","3p-5p","",""
"3876","2026-02-15","Eagle River","Pioneer Park Centennial Center","music","4th Annual Valentine's Ties & Tiaras","3p-6p","",""
"3877","2026-02-15","Eagle River","The Creek Street Cabaret","music","Open Mic Night","6:30p-9:30p","",""
"3878","2026-02-15","Eagle River","Red Dog Saloon","music","Sunday Social Dancing & Lessons","6p-9p","",""
"3879","2026-02-15","Eagle River","Pier One Theatre Inc.","theatre","The Creel Play by Kate Rich","7p-8:15p","",""
"3880","2026-02-15","Eagle River","Four Corner’s Lounge","music","Karaoke","8p-?","",""
"3881","2026-02-16","Anchorage","Fire Island Bakery @ K Street Market","music","Weekly Jazz Jam","6:30p-9:30p","",""
"3882","2026-02-16","Anchorage","Studio 49","community","Sweet Cheeks Cabaret: Burlesque Basics Class w/ DeeDee S.Emme","7p-8p","",""
"3883","2026-02-16","Anchorage","Anchorage Social Dance Club","dance","Learn to Square Dance","7p-9p","",""
"3884","2026-02-16","Anchorage","Koot’s","music","The Monday Mic w/ Boobs","9p-12a","",""
"3885","2026-02-16","Eagle River","Skeetawk","music","JR Ski Patrol Day (Ages 13-17)","10a-1p","",""
"3886","2026-02-16","Eagle River","The Goods","music","Friends of Mike Morgan Song Circle","5p-7p","",""
"3887","2026-02-16","Eagle River","Palmer Train Depot","music","Stories of Free Rivers & Wild Salmon","6:30p-8:30p","",""
"3888","2026-02-16","Eagle River","Juneau Arts & Culture Center","music","Gospel Choir Workshops","6:30p-8p","",""
"3889","2026-02-17","Anchorage","Anchorage Museum","festival","Sitka Music Festival Perfomance","12p-?","",""
"3890","2026-02-17","Anchorage","49th State Brewing","music","Mardi Gras w/ music by The Blue Dixie Combo","6:30p-?","",""
"3891","2026-02-17","Anchorage","Alaska Dance Promotions","community","Beginner Kizomba Class","6p-7p","",""
"3892","2026-02-17","Anchorage","Pink Cadillac","music","All Ages Buckarooos Night","7p-11p","",""
"3893","2026-02-17","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke","8p-2a","",""
"3894","2026-02-17","Anchorage","Koot’s","music","The Eternal Cowboys","9p-12a","",""
"3895","2026-02-17","Eagle River","Pratt Museum","community","Storytime at the Pratt: Black History Month","10:30a-11:30a","",""
"3896","2026-02-17","Eagle River","Soldotna Library","community","Toddler Story Time","10:30a-11a","",""
"3897","2026-02-17","Eagle River","Ken’s Garden Center","community","Storytime at Ken’s","10a-11a","",""
"3898","2026-02-17","Eagle River","Justin Cole’s Down East Saloon","music","Taco Tuesday's with Jim Maloney","6:30p-10p","",""
"3899","2026-02-17","Eagle River","Alaska Sea Life Center","community","Winter Nights: Community Game Night","6:30p-8p","",""
"3900","2026-02-17","Eagle River","Lat 65 Brewing Co.","music","Pedals, Pints, & Poles","6p-9p","",""
"3901","2026-02-17","Eagle River","Four Corner’s Lounge","music","Industry Night with DJ Red","8p-?","",""
"3902","2026-02-17","Eagle River","The Crystal Saloon","music","Jazz Jam Tuesday","8p-11p","",""
"3903","2026-02-18","Anchorage","West High School","music","West High Choir Benefit Concert and Silent Auction 6p-??","","",""
"3904","2026-02-18","Anchorage","Alaska Zoo","community","Free Community Storytime","10:30a-11a","",""
"3905","2026-02-18","Anchorage","Pioneer Bar","music","The Eternal Cowboys","10p-1a","",""
"3906","2026-02-18","Anchorage","Koot’s","music","Koots Karaoke","10p-2a","",""
"3907","2026-02-18","Anchorage","Fairview Recreation Center","dance","UAA Dance & Cheer Class: Junior Varsity","5:30p-6:445p","",""
"3908","2026-02-18","Anchorage","Chanshtnu Muldoon Park","music","Skater Tots: Free Skate Rentals","5:30p-7:30p","",""
"3909","2026-02-18","Anchorage","Anchorage Social Dance Club","music","International Folk Dancing","6:30p-8p","",""
"3910","2026-02-18","Anchorage","Sullivan Arena","music","Alaska Fighting Championship 173","7:30p-11p","",""
"3911","2026-02-18","Anchorage","Pink Cadillac","dance","Line Dance Wednesdays","7p-12a","",""
"3912","2026-02-18","Anchorage","Crimson","music","Anchorage DJ Meetup Hosted by DJ Spencer Lee","7p-9p","",""
"3913","2026-02-18","Anchorage","Koot’s","music","Country Night","8p-2a","",""
"3914","2026-02-18","Anchorage","Van’s Dive Bar","music","Karaoke","9p-1a","",""
"3915","2026-02-18","Eagle River","Gerrish Library","community","Family Storytime","10:30a-11:30a","",""
"3916","2026-02-18","Eagle River","Soldotna Library","community","Bouncing Babes Story Time","10:30a-11a","",""
"3917","2026-02-18","Eagle River","Kenai Chamber of Commerce &Visitor Center","music","Kenai Chamber Small Business Symposium & Awards Ceremony","10a-3p","",""
"3918","2026-02-18","Eagle River","Inn at Creek Street","music","The Ukulele Group","3:45p-4:45p","",""
"3919","2026-02-18","Eagle River","The Goods","music","Karaoke Nights","5:30p-8p","",""
"3920","2026-02-18","Eagle River","Kodiak Island Brewing Company","music","Popular Music Trivia","6:30p-7:30p","",""
"3921","2026-02-18","Eagle River","Schwabenhof","music","Open Mic","7:30p-11p","",""
"3922","2026-02-18","Eagle River","Four Corner’s Lounge","music","West Coast Sing Wednesday","7:30p-9:30p","",""
"3923","2026-02-18","Eagle River","Porcupine Theater","music","The Glacier Quartet","7p-?","",""
"3924","2026-02-18","Eagle River","Palmer Alehouse","comedy","Comedy For A Cause w/ Damien Speranza: Alaska Firefighters","7p-9p","",""
"3925","2026-02-18","Eagle River","The Crystal Saloon","music","Open Mic Night","8p-11:30p","",""
"3926","2026-02-18","Eagle River","The Spur","music","Karaoke Night with Rocky!","8p-11p","",""
"3927","2026-02-18","Eagle River","Alaskan Hotel and Bar","music","Karaoke","8p-11p","",""
